year,board_depth,drafts,n_weeks,ante_rb_top24,ante_wr_top24,ante_first_qb,ante_first_te,ante_qb_in_192,ante_qb_cliff,ante_rb_cliff,ante_wr_cliff,ante_te_cliff,post_qb_edge,post_qb_missed,post_qb_predict,post_qb_hit,post_rb_edge,post_rb_missed,post_rb_predict,post_rb_hit,post_wr_edge,post_wr_missed,post_wr_predict,post_wr_hit,post_te_edge,post_te_missed,post_te_predict,post_te_hit
2010,214,898,16,11,10,7.8,38.9,29,68.68333333333334,58.21333333333333,71.30000000000001,65.71666666666667,88.4,2.7,0.469,0.67,73.1,3.8,0.525,0.53,114.3,0.6,0.517,0.56,33.5,5.3,0.201,0.5
2011,188,600,16,13,8,8.9,37.9,23,66.61666666666666,60.7,66.47222222222223,68.66666666666666,139.1,3.5,0.248,0.5,79.5,3.7,0.534,0.6,87.1,1.6,0.459,0.67,36.5,2.5,0.359,0.17
2013,191,764,16,17,6,30.7,14.3,26,42.98333333333334,44.85333333333333,66.14444444444445,71.44999999999999,101.3,2.2,0.445,0.5,81.8,2.8,0.523,0.47,100.1,3.2,0.567,0.56,74.3,3.7,0.519,0.67
2014,194,635,16,11,9,10.4,7.8,21,66.18333333333334,57.13333333333333,59.644444444444446,76.71666666666667,93.9,1.0,0.47,0.67,79.0,4.1,0.46,0.6,59.0,2.7,0.573,0.5,50.4,3.2,0.294,0.5
2015,201,844,16,11,11,16.9,10.3,23,46.849999999999994,53.24666666666667,67.11666666666666,80.08333333333333,-16.8,4.2,-0.067,0.5,37.3,3.9,0.401,0.47,108.6,2.8,0.492,0.56,57.1,2.5,0.421,0.5
2016,188,956,16,9,14,34.5,14.2,24,51.116666666666674,54.83333333333334,62.74444444444444,67.51666666666667,8.4,2.0,0.54,0.5,97.7,4.7,0.358,0.6,63.0,3.1,0.392,0.56,41.9,3.0,0.297,0.67
2017,184,685,16,12,11,23.4,18.1,21,52.73333333333334,58.14666666666667,63.33333333333333,75.56666666666666,26.0,2.5,0.184,0.33,107.4,3.5,0.464,0.67,54.3,2.4,0.467,0.56,6.9,6.5,0.236,0.5
2018,197,2494,16,14,9,31.4,21.0,25,52.783333333333324,55.04666666666667,63.3888888888889,72.76666666666665,38.3,1.2,0.365,0.5,72.8,4.5,0.401,0.6,101.8,1.9,0.673,0.78,35.1,2.5,0.247,0.33
2019,200,2167,16,12,10,19.3,17.1,24,50.36666666666667,48.473333333333336,66.03888888888889,75.23333333333332,29.6,2.3,0.171,0.17,105.6,2.9,0.697,0.67,85.1,3.1,0.497,0.61,59.5,3.5,0.424,0.5
2021,211,1709,17,14,7,22.9,8.2,27,54.333333333333336,56.86666666666667,58.34444444444445,79.85,132.1,2.5,0.668,0.5,67.3,4.0,0.629,0.67,21.4,3.6,0.501,0.56,100.9,3.3,0.38,0.67
2022,157,1633,17,14,8,20.4,16.5,20,49.36666666666666,57.72666666666666,62.87777777777778,81.80000000000001,140.4,2.3,0.515,0.67,59.6,2.9,0.546,0.67,75.2,2.9,0.601,0.5,77.9,4.3,0.468,0.67
2023,202,3146,17,9,13,19.6,5.9,24,65.73333333333335,58.413333333333334,56.07777777777777,87.28333333333333,119.5,2.7,0.303,0.5,105.1,3.4,0.38,0.6,109.8,2.4,0.711,0.61,35.7,3.7,0.27,0.5
2024,205,1371,17,11,13,25.1,24.4,26,53.88333333333333,65.38,56.75555555555556,72.70000000000002,57.8,2.0,0.419,0.33,116.1,3.1,0.57,0.6,81.5,3.1,0.516,0.56,71.9,2.2,0.522,0.83
2025,249,8470,17,12,11,22.9,27.1,29,64.45,67.34,57.42777777777777,67.61666666666667,-12.3,5.0,0.117,0.17,116.6,2.3,0.669,0.8,33.2,4.4,0.555,0.44,38.2,4.0,0.507,0.33
